delta_id,source_id,comparison_type,compound_name,cas,state_a,state_b,value_a,value_b,value_unit,oav_a,oav_b,direct_finding,interpretation,notes
BD-001,SRC-BEEF-ROAST-001,raw_to_6min_roast,1-heptanol,111-70-6,raw,"250°C roast, 6 min",13.78,14.02,µg/kg,,,Direct concentration increase.,Thermal transformation changes weighting even when the compound persists.,Blank OAV values are not inferred; only extracted exact values are entered.
BD-002,SRC-BEEF-ROAST-001,raw_to_6min_roast,1-octen-3-ol,3391-86-4,raw,"250°C roast, 6 min",313.89,279.37,µg/kg,,,Direct concentration decrease.,Thermal transformation changes weighting even when the compound persists.,Blank OAV values are not inferred; only extracted exact values are entered.
BD-003,SRC-BEEF-ROAST-001,raw_to_6min_roast,hexanal,66-25-1,raw,"250°C roast, 6 min",122.67,811.42,µg/kg,,16.23,Direct concentration increase.,Thermal transformation changes weighting even when the compound persists.,Blank OAV values are not inferred; only extracted exact values are entered.
BD-004,SRC-BEEF-ROAST-001,raw_to_6min_roast,octanal,124-13-0,raw,"250°C roast, 6 min",8.64,70.46,µg/kg,,100.66,Direct concentration increase.,Thermal transformation changes weighting even when the compound persists.,Blank OAV values are not inferred; only extracted exact values are entered.
BD-005,SRC-BEEF-ROAST-001,raw_to_6min_roast,(E)-2-octenal,2548-87-0,raw,"250°C roast, 6 min",6.35,3.95,µg/kg,,,Direct concentration decrease.,Thermal transformation changes weighting even when the compound persists.,Blank OAV values are not inferred; only extracted exact values are entered.
BD-006,SRC-BEEF-ROAST-001,raw_to_6min_roast,nonanal,124-19-6,raw,"250°C roast, 6 min",44.84,179.55,µg/kg,,179.55,Direct concentration increase.,Thermal transformation changes weighting even when the compound persists.,Blank OAV values are not inferred; only extracted exact values are entered.
BD-007,SRC-BEEF-ROAST-001,raw_to_6min_roast,"(E,E)-2,4-decadienal",25152-84-5,raw,"250°C roast, 6 min",17.3,4.35,µg/kg,,,Direct concentration decrease.,Thermal transformation changes weighting even when the compound persists.,Blank OAV values are not inferred; only extracted exact values are entered.
BD-008,SRC-BEEF-ROAST-001,raw_to_6min_roast,2-pentylfuran,3777-69-3,raw,"250°C roast, 6 min",32.27,40.29,µg/kg,,6.72,Direct concentration increase.,Thermal transformation changes weighting even when the compound persists.,Blank OAV values are not inferred; only extracted exact values are entered.
BD-009,SRC-BEEF-RAW-MARBLING-001,marbling_A1_vs_A5,decanal,112-31-2,A1 raw,A5 raw,5.35,7.69,µg/kg,5.35,7.69,Direct concentration increase; OAV remains ≥1 in both grades.,"Supports abundance/OAV weighting changes within a shared sensory-active set, not automatic separate breed chemistry.",One controlled marbling comparison; architecture inference remains founder-review material.
BD-010,SRC-BEEF-RAW-MARBLING-001,marbling_A1_vs_A5,hexanal,66-25-1,A1 raw,A5 raw,14.96,21.38,µg/kg,3.32,4.75,Direct concentration increase; OAV remains ≥1 in both grades.,"Supports abundance/OAV weighting changes within a shared sensory-active set, not automatic separate breed chemistry.",One controlled marbling comparison; architecture inference remains founder-review material.
BD-011,SRC-BEEF-RAW-MARBLING-001,marbling_A1_vs_A5,nonanal,124-19-6,A1 raw,A5 raw,48.19,41.46,µg/kg,48.19,41.46,Direct concentration decrease; OAV remains ≥1 in both grades.,"Supports abundance/OAV weighting changes within a shared sensory-active set, not automatic separate breed chemistry.",One controlled marbling comparison; architecture inference remains founder-review material.
BD-012,SRC-BEEF-RAW-MARBLING-001,marbling_A1_vs_A5,1-heptanol,111-70-6,A1 raw,A5 raw,4.31,20.74,µg/kg,1.44,6.91,Direct concentration increase; OAV remains ≥1 in both grades.,"Supports abundance/OAV weighting changes within a shared sensory-active set, not automatic separate breed chemistry.",One controlled marbling comparison; architecture inference remains founder-review material.
BD-013,SRC-BEEF-RAW-MARBLING-001,marbling_A1_vs_A5,1-octen-3-ol,3391-86-4,A1 raw,A5 raw,39.34,139.45,µg/kg,1.57,5.58,Direct concentration increase; OAV remains ≥1 in both grades.,"Supports abundance/OAV weighting changes within a shared sensory-active set, not automatic separate breed chemistry.",One controlled marbling comparison; architecture inference remains founder-review material.
BD-014,SRC-BEEF-RAW-MARBLING-001,marbling_A1_vs_A5,1-pentanol,71-41-0,A1 raw,A5 raw,29.84,16.33,µg/kg,34.7,18.99,Direct concentration decrease; OAV remains ≥1 in both grades.,"Supports abundance/OAV weighting changes within a shared sensory-active set, not automatic separate breed chemistry.",One controlled marbling comparison; architecture inference remains founder-review material.
BD-015,SRC-BEEF-RAW-MARBLING-001,marbling_A1_vs_A5,methyl hexanoate,106-70-7,A1 raw,A5 raw,61.35,97.57,µg/kg,2.27,3.61,Direct concentration increase; OAV remains ≥1 in both grades.,"Supports abundance/OAV weighting changes within a shared sensory-active set, not automatic separate breed chemistry.",One controlled marbling comparison; architecture inference remains founder-review material.
BD-016,SRC-BEEF-AGE-001,dry28_vs_wet28,2-methylbutanal,96-17-3,dry-aged 28 d,wet-aged 28 d,4503.0,1827.0,instrument_peak_area,,,Dry-aged value exceeds wet-aged value.,Direct dry-aging Strecker/amino-acid-degradation-associated delta.,"Peak area is source instrument response, not absolute concentration."
BD-017,SRC-BEEF-AGE-001,dry28_vs_wet28,2-methylpropanal,78-84-2,dry-aged 28 d,wet-aged 28 d,2458.0,,instrument_peak_area,,,Detected in dry-aged day 28; not detected in wet-aged day 28.,Strong state differentiator in this experiment.,Wet value intentionally left blank; non-detect is not converted to zero.
BD-018,SRC-BEEF-AGE-001,dry28_vs_wet28,propanal,123-38-6,dry-aged 28 d,wet-aged 28 d,38743.0,14394.0,instrument_peak_area,,,Dry-aged value exceeds wet-aged value.,Supports increased lipid-oxidation contribution during dry aging.,"Peak area is source instrument response, not absolute concentration."
BD-019,SRC-BEEF-AGE-001,dry28_vs_wet28,2-methyl-2-propanethiol,75-66-1,dry-aged 28 d,wet-aged 28 d,9680.0,1477.0,instrument_peak_area,,,Dry-aged sulfur-compound value substantially exceeds wet-aged comparator.,Supports proteolysis/Strecker-linked sulfur delta during dry aging.,"Peak area is source instrument response, not absolute concentration."
BD-020,SRC-BEEF-AGE-001,dry28_vs_wet28,ethyl propanoate,105-37-3,dry-aged 28 d,wet-aged 28 d,6761.0,829.0,instrument_peak_area,,,Dry-aged ester value substantially exceeds wet-aged comparator.,Supports microbial/lipolytic contribution to dry-aged aroma.,"Peak area is source instrument response, not absolute concentration."
BD-021,SRC-BEEF-AGE-001,dry28_vs_wet28,tetrahydrofuran,109-99-9,dry-aged 28 d,wet-aged 28 d,6262.0,3068.0,instrument_peak_area,,,Dry-aged value exceeds wet-aged value.,State-specific aging delta; mechanistic interpretation remains secondary to direct measurement.,"Peak area is source instrument response, not absolute concentration."
BD-022,SRC-BEEF-AGE-001,dry28_vs_wet28,3-heptanone,106-35-4,dry-aged 28 d,wet-aged 28 d,675.0,60.0,instrument_peak_area,,,Dry-aged ketone value exceeds wet-aged comparator.,State-specific aging delta.,"Peak area is source instrument response, not absolute concentration."
