detected_record_id,product_id,protein,material,state_scope,source_id,compound_group,compound_name,cas,retention_time_min,source_relevance_match_pct,source_identification_field_definition,numeric_mass_match_factor,chromatographic_lri_observed,mr09_identification_status,odor_descriptor,odor_threshold_ppm,notes
BDA-001,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,Aldehydes/furans/ketones,"(E,E)-2,4-Hexadienal",,116.86,81.1,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,"Citrus, floral, green, spicy, sweet",94.8,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-002,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,Aldehydes/furans/ketones,2-Methylbutanal,,28.3,92.02,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,"Ethereal, nutty, sweet",1,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-003,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,Aldehydes/furans/ketones,2-Methylpropanal,,16.39,51.36,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,"Camphor, green, malty, pungent, sharp",0.7,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-004,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,Aldehydes/furans/ketones,Propanal,,14.13,65.5,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,"Almond, cherry, green, fruity",25.1,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-005,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,Aldehydes/furans/ketones,Tetrahydrofuran,,21.72,93.82,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,"Aromatic, burnt, fruity, sulfurous, sweet",92-61000,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-006,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,Aldehydes/furans/ketones,3-Heptanone,,87.14,90.67,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,"Fatty, fruity, green, spicy, sweet",140,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-007,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,N-containing,1-Butanamine,,25.03,85.38,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,"Ammoniacal, fishy",170,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-008,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,N-containing,Ethenyl-dimethylpyrazine,,147.23,93.75,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,"Earthy, musty",,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-009,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,N-containing,2-Pentylpyridine,,108.94,84.18,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,"Fatty, green, mushroom, pepper, tallowy",5,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-010,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,N-containing,Trimethylamine,,11.1,74.73,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,"Ammoniacal, fishy, fruity, oily, pungent, rancid, sweaty",2.4,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
