detected_record_id,product_id,protein,material,processing_comparison,source_id,compound_group,compound_name,cas,ri_db_wax,identification_method,numeric_match_factor,source_match_quality_floor_pct,mr09_identification_status,t1_smoked_spiced_ng_g,t2_unsmoked_unspiced_ng_g,sem,p_level,t1_detected,t2_detected,processing_role,unit,notes
BDC-001,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Hydrocarbons,Hexane,,806,MS,,,partial_ms_only_no_numeric_match_factor,29.61,41.78,4.17,NS,yes,yes,,ng/g dry matter,
BDC-002,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Hydrocarbons,Trichloromethane,,924,MS,,,partial_ms_only_no_numeric_match_factor,,2.66,0.77,-,no,yes,,ng/g dry matter,
BDC-003,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Hydrocarbons,alpha-Pinene,,1019,MS;RI,,,partial_no_numeric_match_factor_with_ri,35.41,,8.09,-,yes,no,,ng/g dry matter,
BDC-004,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Hydrocarbons,alpha-Phellandrene,,1024,MS,,,partial_ms_only_no_numeric_match_factor,10.32,,1.87,-,yes,no,,ng/g dry matter,
BDC-005,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Hydrocarbons,Toluene,,1037,MS;RI,,,partial_no_numeric_match_factor_with_ri,48.9,29.42,5.93,NS,yes,yes,,ng/g dry matter,
BDC-006,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Hydrocarbons,Undecane,,1088,MS;RI,,,partial_no_numeric_match_factor_with_ri,69.16,24.31,10.44,*,yes,yes,,ng/g dry matter,
BDC-007,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Hydrocarbons,beta-Pinene,,1100,MS;RI,,,partial_no_numeric_match_factor_with_ri,47.69,,10.71,-,yes,no,,ng/g dry matter,
BDC-008,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Hydrocarbons,beta-Phellandrene,,1115,MS;RI,,,partial_no_numeric_match_factor_with_ri,17.17,,2.94,-,yes,no,,ng/g dry matter,
BDC-009,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Hydrocarbons,Ethylbenzene,,1123,MS;RI,,,partial_no_numeric_match_factor_with_ri,29.29,11.74,4.53,NS,yes,yes,,ng/g dry matter,
BDC-010,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Hydrocarbons,o-Xylene,,1131,MS;RI,,,partial_no_numeric_match_factor_with_ri,22.83,15.17,2.33,NS,yes,yes,,ng/g dry matter,
BDC-011,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Hydrocarbons,p-Xylene,,1137,MS;RI,,,partial_no_numeric_match_factor_with_ri,32.25,30.15,6.37,NS,yes,yes,,ng/g dry matter,
BDC-012,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Hydrocarbons,3-Carene,,1147,MS;RI,,,partial_no_numeric_match_factor_with_ri,119.11,,30.86,-,yes,no,,ng/g dry matter,
BDC-013,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Hydrocarbons,Ocimene,,1176,MS,,,partial_ms_only_no_numeric_match_factor,12.05,,2.47,-,yes,no,,ng/g dry matter,
BDC-014,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Hydrocarbons,Dodecane,,1196,MS;RI,,,partial_no_numeric_match_factor_with_ri,134.27,49.18,21.1,*,yes,yes,,ng/g dry matter,
BDC-015,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Hydrocarbons,D-Limonene,,1197,MS;RI,,,partial_no_numeric_match_factor_with_ri,159.98,21.93,21.12,**,yes,yes,,ng/g dry matter,
BDC-016,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Hydrocarbons,Eucalyptol,,1210,MS,,,partial_ms_only_no_numeric_match_factor,205.09,,32.5,-,yes,no,,ng/g dry matter,
