detected_record_id,product_id,protein,anatomical_material,preparation_state,source_id,source_compound_group,normalized_compound_group,compound_name,cas,ri_observed_db_wax,identification_method,authentic_standard_confirmed,numeric_match_factor,source_match_quality_floor_pct,mr09_identification_status,pentane_source_value,pentane_mean_pct,ethyl_ether_source_value,ethyl_ether_mean_pct,dcm_source_value,dcm_mean_pct,methanol_source_value,methanol_mean_pct,quantified_in_any_solvent,metric,notes
BDF-001,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Aldehydes,Aldehydes,Acetaldehyde,,692,RI/MS,no,,,partial_no_numeric_match_factor,-,,-,,-,,0.03±0.12,0.03,yes,relative peak area (%) by SAFE extraction solvent,
BDF-002,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Aldehydes,Aldehydes,3-Hydroxybutyral,,812,RI/MS,no,,,partial_no_numeric_match_factor,-,,-,,-,,0.96±0.12,0.96,yes,relative peak area (%) by SAFE extraction solvent,
BDF-003,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Aldehydes,Aldehydes,Hexanal,,1078,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,3.68±0.74a,3.68,2.01±0.19b,2.01,3.31±0.46a,3.31,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-004,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Aldehydes,Aldehydes,Heptanal,,1174,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,5.45±1.09a,5.45,2.41±0.23c,2.41,3.91±0.55b,3.91,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-005,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Aldehydes,Aldehydes,(E)-2-Hexenal,,1319,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,0.06±0.01c,0.06,0.20±0.02a,0.2,0.12±0.02b,0.12,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-006,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Aldehydes,Aldehydes,Octanal,,1272,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,3.67±0.73b,3.67,4.25±0.41a,4.25,2.98±0.42b,2.98,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-007,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Aldehydes,Aldehydes,Nonanal,,1370,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,3.75±0.75b,3.75,7.09±0.69a,7.09,3.29±0.46b,3.29,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-008,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Aldehydes,Aldehydes,(Z)-2-Nonenal,,1401,RI/MS,no,,,partial_no_numeric_match_factor,0.76±0.15b,0.76,2.97±0.29a,2.97,1.14±0.16b,1.14,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-009,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Aldehydes,Aldehydes,(E)-2-Nonenal,,1403,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,4.26±0.85a,4.26,4.03±0.39a,4.03,2.73±0.38b,2.73,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-010,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Aldehydes,Aldehydes,(E)-2-Octenal,,1422,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,2.50±0.50a,2.5,0.96±0.09b,0.96,2.27±0.32a,2.27,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-011,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Aldehydes,Aldehydes,"(E,E)-2,4-Heptadienal",,1484,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,1.40±0.36a,1.4,0.70±0.17b,0.7,1.47±0.39a,1.47,-,,yes,relative peak area (%) by SAFE extraction solvent,
