detected_record_id,product_id,protein,material,state_scope,source_id,compound_group,compound_name,cas,lri_observed,lri_reference,identification_method,numeric_match_factor,source_match_quality_floor_pct,mr09_identification_status,raw_pct,grill55_pct,grill60_pct,grill71_pct,grill77_pct,grill85_pct,p_value,source_metric_or_value,notes
BDM-MOR-001,beef:muscle,beef,Longissimus lumborum,raw→grilled doneness series,SRC-BEEF-GRILL-TEMP-001,Aldehydes,3-Methyl butanal,590-86-3,653,651.0,NIST 2014 MS + in-house authentic-compound library + Kovats LRI,,,numeric_match_factor_unreported,2.21,5.59,5.56,5.29,4.55,5.33,ns,relative abundance (% total VOC); zero = source-reported not detected,full detected table; raw and five grilled internal-temperature states
BDM-MOR-002,beef:muscle,beef,Longissimus lumborum,raw→grilled doneness series,SRC-BEEF-GRILL-TEMP-001,Aldehydes,Hexanal,66-25-1,802,801.0,NIST 2014 MS + in-house authentic-compound library + Kovats LRI,,,numeric_match_factor_unreported,1.12,3.78,4.16,4.49,4.06,3.86,<0.01,relative abundance (% total VOC); zero = source-reported not detected,full detected table; raw and five grilled internal-temperature states
BDM-MOR-003,beef:muscle,beef,Longissimus lumborum,raw→grilled doneness series,SRC-BEEF-GRILL-TEMP-001,Aldehydes,Heptanal,111-71-7,904,901.0,NIST 2014 MS + in-house authentic-compound library + Kovats LRI,,,numeric_match_factor_unreported,1.21,4.69,5.25,6.17,5.94,4.75,<0.01,relative abundance (% total VOC); zero = source-reported not detected,full detected table; raw and five grilled internal-temperature states
BDM-MOR-004,beef:muscle,beef,Longissimus lumborum,raw→grilled doneness series,SRC-BEEF-GRILL-TEMP-001,Aldehydes,Benzaldehyde,100-52-7,970,960.0,NIST 2014 MS + in-house authentic-compound library + Kovats LRI,,,numeric_match_factor_unreported,0.21,0.35,0.57,0.51,0.5,0.58,<0.01,relative abundance (% total VOC); zero = source-reported not detected,full detected table; raw and five grilled internal-temperature states
BDM-MOR-005,beef:muscle,beef,Longissimus lumborum,raw→grilled doneness series,SRC-BEEF-GRILL-TEMP-001,Aldehydes,Octanal,124-13-0,1005,1004.0,NIST 2014 MS + in-house authentic-compound library + Kovats LRI,,,numeric_match_factor_unreported,0.57,3.01,3.36,3.97,3.29,2.93,<0.01,relative abundance (% total VOC); zero = source-reported not detected,full detected table; raw and five grilled internal-temperature states
BDM-MOR-006,beef:muscle,beef,Longissimus lumborum,raw→grilled doneness series,SRC-BEEF-GRILL-TEMP-001,Aldehydes,"(E,E)-2,4-Heptadienal",4313-03-5,1015,1014.0,NIST 2014 MS + in-house authentic-compound library + Kovats LRI,,,numeric_match_factor_unreported,0.0,0.19,0.13,0.26,0.32,0.17,<0.01,relative abundance (% total VOC); zero = source-reported not detected,full detected table; raw and five grilled internal-temperature states
BDM-MOR-007,beef:muscle,beef,Longissimus lumborum,raw→grilled doneness series,SRC-BEEF-GRILL-TEMP-001,Aldehydes,(E)-2-Octenal,2548-87-0,1061,1061.0,NIST 2014 MS + in-house authentic-compound library + Kovats LRI,,,numeric_match_factor_unreported,0.1,0.77,0.91,0.98,0.81,0.5,<0.01,relative abundance (% total VOC); zero = source-reported not detected,full detected table; raw and five grilled internal-temperature states
BDM-MOR-008,beef:muscle,beef,Longissimus lumborum,raw→grilled doneness series,SRC-BEEF-GRILL-TEMP-001,Aldehydes,Nonanal,124-19-6,1108,1106.0,NIST 2014 MS + in-house authentic-compound library + Kovats LRI,,,numeric_match_factor_unreported,5.95,9.95,12.33,12.62,12.07,12.72,<0.01,relative abundance (% total VOC); zero = source-reported not detected,full detected table; raw and five grilled internal-temperature states
BDM-MOR-009,beef:muscle,beef,Longissimus lumborum,raw→grilled doneness series,SRC-BEEF-GRILL-TEMP-001,Aldehydes,(E)-2-Nonenal,18829-56-6,1164,1160.0,NIST 2014 MS + in-house authentic-compound library + Kovats LRI,,,numeric_match_factor_unreported,0.0,0.71,0.48,0.58,0.76,0.64,<0.01,relative abundance (% total VOC); zero = source-reported not detected,full detected table; raw and five grilled internal-temperature states
BDM-MOR-010,beef:muscle,beef,Longissimus lumborum,raw→grilled doneness series,SRC-BEEF-GRILL-TEMP-001,Aldehydes,4-Ethyl benzaldehyde,4748-78-1,1174,1164.0,NIST 2014 MS + in-house authentic-compound library + Kovats LRI,,,numeric_match_factor_unreported,0.43,0.68,0.63,0.76,0.62,0.39,ns,relative abundance (% total VOC); zero = source-reported not detected,full detected table; raw and five grilled internal-temperature states
BDM-MOR-011,beef:muscle,beef,Longissimus lumborum,raw→grilled doneness series,SRC-BEEF-GRILL-TEMP-001,Aldehydes,Decanal,112-31-2,1209,1205.0,NIST 2014 MS + in-house authentic-compound library + Kovats LRI,,,numeric_match_factor_unreported,0.35,0.58,0.68,0.71,0.67,0.7,<0.01,relative abundance (% total VOC); zero = source-reported not detected,full detected table; raw and five grilled internal-temperature states
BDM-MOR-012,beef:muscle,beef,Longissimus lumborum,raw→grilled doneness series,SRC-BEEF-GRILL-TEMP-001,Aldehydes,(E)-2-Decenal,3913-81-3,1267,1266.0,NIST 2014 MS + in-house authentic-compound library + Kovats LRI,,,numeric_match_factor_unreported,0.6,1.59,1.97,1.44,2.15,2.05,ns,relative abundance (% total VOC); zero = source-reported not detected,full detected table; raw and five grilled internal-temperature states
BDM-MOR-013,beef:muscle,beef,Longissimus lumborum,raw→grilled doneness series,SRC-BEEF-GRILL-TEMP-001,Aldehydes,"(E,E)-2,4-Decadienal",25152-84-5,1302,1299.0,NIST 2014 MS + in-house authentic-compound library + Kovats LRI,,,numeric_match_factor_unreported,0.0,0.33,0.22,0.31,0.36,0.26,<0.01,relative abundance (% total VOC); zero = source-reported not detected,full detected table; raw and five grilled internal-temperature states
BDM-MOR-014,beef:muscle,beef,Longissimus lumborum,raw→grilled doneness series,SRC-BEEF-GRILL-TEMP-001,Aldehydes,Undecanal,112-44-7,1311,1309.0,NIST 2014 MS + in-house authentic-compound library + Kovats LRI,,,numeric_match_factor_unreported,0.12,0.23,0.24,0.25,0.24,0.27,ns,relative abundance (% total VOC); zero = source-reported not detected,full detected table; raw and five grilled internal-temperature states
