profile_record_id,protein,family_id,preparation_state,cut_or_part,compound_name,cas,compound_group,evidence_mode,sensory_validation_mode,direct_source_state,importance_class,importance_detail,concentration,concentration_unit,sensory_metric_type,sensory_metric_value,odor_descriptor,source_id,source_url,source_context_confounded,promotion_status,notes,product_id,material_scope,mr13_product_status
BP-001,beef,family:beef,raw,Qinchuan hind-leg lean; fascia removed,1-heptanol,111-70-6,Alcohols,measured,OAV_gt_1,raw,aroma_active_raw,One of 10 raw-beef odorants with OAV > 1 in the time-course study.,13.78,µg/kg,OAV,,,SRC-BEEF-ROAST-001,https://www.frontiersin.org/journals/nutrition/articles/10.3389/fnut.2022.978622/full,no,eligible_raw_core_v12,,beef:muscle,Qinchuan hind-leg lean; fascia removed,active_beef_muscle
BP-002,beef,family:beef,raw,Qinchuan hind-leg lean; fascia removed,1-octen-3-ol,3391-86-4,Alcohols,measured,OAV_gt_1,raw,aroma_active_raw,One of 10 raw-beef odorants with OAV > 1 in the time-course study.,313.89,µg/kg,OAV,,,SRC-BEEF-ROAST-001,https://www.frontiersin.org/journals/nutrition/articles/10.3389/fnut.2022.978622/full,no,eligible_raw_core_v12,,beef:muscle,Qinchuan hind-leg lean; fascia removed,active_beef_muscle
BP-003,beef,family:beef,raw,Qinchuan hind-leg lean; fascia removed,hexanal,66-25-1,"Carbonyls, aldehydes",measured,OAV_gt_1,raw,aroma_active_raw,One of 10 raw-beef odorants with OAV > 1 in the time-course study.,122.67,µg/kg,OAV,,,SRC-BEEF-ROAST-001,https://www.frontiersin.org/journals/nutrition/articles/10.3389/fnut.2022.978622/full,no,eligible_raw_core_v12,,beef:muscle,Qinchuan hind-leg lean; fascia removed,active_beef_muscle
BP-004,beef,family:beef,raw,Qinchuan hind-leg lean; fascia removed,octanal,124-13-0,"Carbonyls, aldehydes",measured,OAV_gt_1,raw,aroma_active_raw,One of 10 raw-beef odorants with OAV > 1 in the time-course study.,8.64,µg/kg,OAV,,,SRC-BEEF-ROAST-001,https://www.frontiersin.org/journals/nutrition/articles/10.3389/fnut.2022.978622/full,no,eligible_raw_core_v12,,beef:muscle,Qinchuan hind-leg lean; fascia removed,active_beef_muscle
BP-005,beef,family:beef,raw,Qinchuan hind-leg lean; fascia removed,(E)-2-octenal,2548-87-0,"Carbonyls, aldehydes",measured,OAV_gt_1,raw,aroma_active_raw,One of 10 raw-beef odorants with OAV > 1 in the time-course study.,6.35,µg/kg,OAV,,,SRC-BEEF-ROAST-001,https://www.frontiersin.org/journals/nutrition/articles/10.3389/fnut.2022.978622/full,no,eligible_raw_core_v12,,beef:muscle,Qinchuan hind-leg lean; fascia removed,active_beef_muscle
BP-006,beef,family:beef,raw,Qinchuan hind-leg lean; fascia removed,"(E,E)-2,4-nonadienal",5910-87-2,"Carbonyls, aldehydes",measured,OAV_gt_1,raw,aroma_active_raw,One of 10 raw-beef odorants with OAV > 1 in the time-course study.,6.67,µg/kg,OAV,,,SRC-BEEF-ROAST-001,https://www.frontiersin.org/journals/nutrition/articles/10.3389/fnut.2022.978622/full,no,eligible_raw_core_v12,,beef:muscle,Qinchuan hind-leg lean; fascia removed,active_beef_muscle
BP-007,beef,family:beef,raw,Qinchuan hind-leg lean; fascia removed,nonanal,124-19-6,"Carbonyls, aldehydes",measured,OAV_gt_1,raw,aroma_active_raw,One of 10 raw-beef odorants with OAV > 1 in the time-course study.,44.84,µg/kg,OAV,,,SRC-BEEF-ROAST-001,https://www.frontiersin.org/journals/nutrition/articles/10.3389/fnut.2022.978622/full,no,eligible_raw_core_v12,,beef:muscle,Qinchuan hind-leg lean; fascia removed,active_beef_muscle
BP-008,beef,family:beef,raw,Qinchuan hind-leg lean; fascia removed,"(E,E)-2,4-decadienal",25152-84-5,"Carbonyls, aldehydes",measured,OAV_gt_1,raw,aroma_active_raw,One of 10 raw-beef odorants with OAV > 1 in the time-course study.,17.3,µg/kg,OAV,,,SRC-BEEF-ROAST-001,https://www.frontiersin.org/journals/nutrition/articles/10.3389/fnut.2022.978622/full,no,eligible_raw_core_v12,,beef:muscle,Qinchuan hind-leg lean; fascia removed,active_beef_muscle
BP-009,beef,family:beef,raw,Qinchuan hind-leg lean; fascia removed,methyl hexanoate,106-70-7,Esters,measured,OAV_gt_1,raw,aroma_active_raw,One of 10 raw-beef odorants with OAV > 1 in the time-course study.,78.27,µg/kg,OAV,,,SRC-BEEF-ROAST-001,https://www.frontiersin.org/journals/nutrition/articles/10.3389/fnut.2022.978622/full,no,eligible_raw_core_v12,,beef:muscle,Qinchuan hind-leg lean; fascia removed,active_beef_muscle
BP-010,beef,family:beef,raw,Qinchuan hind-leg lean; fascia removed,2-pentylfuran,3777-69-3,Furans,measured,OAV_gt_1,raw,aroma_active_raw,One of 10 raw-beef odorants with OAV > 1 in the time-course study.,32.27,µg/kg,OAV,,,SRC-BEEF-ROAST-001,https://www.frontiersin.org/journals/nutrition/articles/10.3389/fnut.2022.978622/full,no,eligible_raw_core_v12,,beef:muscle,Qinchuan hind-leg lean; fascia removed,active_beef_muscle
BP-011,beef,family:beef,raw,Longissimus dorsi; marbling A1,decanal,112-31-2,"Carbonyls, aldehydes",measured,OAV_gt_1,raw,aroma_active_raw_marbling,OAV ≥ 1 in A1 and A5 raw-beef groups.,5.35,µg/kg,OAV,5.35,,SRC-BEEF-RAW-MARBLING-001,https://www.frontiersin.org/journals/veterinary-science/articles/10.3389/fvets.2025.1501177/full,no,eligible_raw_marbling_v12,"Use for abundance/OAV weighting, not as a separate breed profile.",beef:muscle,Longissimus dorsi; marbling A1,active_beef_muscle
BP-012,beef,family:beef,raw,Longissimus dorsi; marbling A5,decanal,112-31-2,"Carbonyls, aldehydes",measured,OAV_gt_1,raw,aroma_active_raw_marbling,OAV ≥ 1 in A1 and A5 raw-beef groups.,7.69,µg/kg,OAV,7.69,,SRC-BEEF-RAW-MARBLING-001,https://www.frontiersin.org/journals/veterinary-science/articles/10.3389/fvets.2025.1501177/full,no,eligible_raw_marbling_v12,"Use for abundance/OAV weighting, not as a separate breed profile.",beef:muscle,Longissimus dorsi; marbling A5,active_beef_muscle
BP-013,beef,family:beef,raw,Longissimus dorsi; marbling A1,hexanal,66-25-1,"Carbonyls, aldehydes",measured,OAV_gt_1,raw,aroma_active_raw_marbling,OAV ≥ 1 in A1 and A5 raw-beef groups.,14.96,µg/kg,OAV,3.32,,SRC-BEEF-RAW-MARBLING-001,https://www.frontiersin.org/journals/veterinary-science/articles/10.3389/fvets.2025.1501177/full,no,eligible_raw_marbling_v12,"Use for abundance/OAV weighting, not as a separate breed profile.",beef:muscle,Longissimus dorsi; marbling A1,active_beef_muscle
BP-014,beef,family:beef,raw,Longissimus dorsi; marbling A5,hexanal,66-25-1,"Carbonyls, aldehydes",measured,OAV_gt_1,raw,aroma_active_raw_marbling,OAV ≥ 1 in A1 and A5 raw-beef groups.,21.38,µg/kg,OAV,4.75,,SRC-BEEF-RAW-MARBLING-001,https://www.frontiersin.org/journals/veterinary-science/articles/10.3389/fvets.2025.1501177/full,no,eligible_raw_marbling_v12,"Use for abundance/OAV weighting, not as a separate breed profile.",beef:muscle,Longissimus dorsi; marbling A5,active_beef_muscle
BP-015,beef,family:beef,raw,Longissimus dorsi; marbling A1,nonanal,124-19-6,"Carbonyls, aldehydes",measured,OAV_gt_1,raw,aroma_active_raw_marbling,OAV ≥ 1 in A1 and A5 raw-beef groups.,48.19,µg/kg,OAV,48.19,,SRC-BEEF-RAW-MARBLING-001,https://www.frontiersin.org/journals/veterinary-science/articles/10.3389/fvets.2025.1501177/full,no,eligible_raw_marbling_v12,"Use for abundance/OAV weighting, not as a separate breed profile.",beef:muscle,Longissimus dorsi; marbling A1,active_beef_muscle
BP-016,beef,family:beef,raw,Longissimus dorsi; marbling A5,nonanal,124-19-6,"Carbonyls, aldehydes",measured,OAV_gt_1,raw,aroma_active_raw_marbling,OAV ≥ 1 in A1 and A5 raw-beef groups.,41.46,µg/kg,OAV,41.46,,SRC-BEEF-RAW-MARBLING-001,https://www.frontiersin.org/journals/veterinary-science/articles/10.3389/fvets.2025.1501177/full,no,eligible_raw_marbling_v12,"Use for abundance/OAV weighting, not as a separate breed profile.",beef:muscle,Longissimus dorsi; marbling A5,active_beef_muscle
BP-017,beef,family:beef,raw,Longissimus dorsi; marbling A1,1-heptanol,111-70-6,Alcohols,measured,OAV_gt_1,raw,aroma_active_raw_marbling,OAV ≥ 1 in A1 and A5 raw-beef groups.,4.31,µg/kg,OAV,1.44,,SRC-BEEF-RAW-MARBLING-001,https://www.frontiersin.org/journals/veterinary-science/articles/10.3389/fvets.2025.1501177/full,no,eligible_raw_marbling_v12,"Use for abundance/OAV weighting, not as a separate breed profile.",beef:muscle,Longissimus dorsi; marbling A1,active_beef_muscle
BP-018,beef,family:beef,raw,Longissimus dorsi; marbling A5,1-heptanol,111-70-6,Alcohols,measured,OAV_gt_1,raw,aroma_active_raw_marbling,OAV ≥ 1 in A1 and A5 raw-beef groups.,20.74,µg/kg,OAV,6.91,,SRC-BEEF-RAW-MARBLING-001,https://www.frontiersin.org/journals/veterinary-science/articles/10.3389/fvets.2025.1501177/full,no,eligible_raw_marbling_v12,"Use for abundance/OAV weighting, not as a separate breed profile.",beef:muscle,Longissimus dorsi; marbling A5,active_beef_muscle
BP-019,beef,family:beef,raw,Longissimus dorsi; marbling A1,1-octen-3-ol,3391-86-4,Alcohols,measured,OAV_gt_1,raw,aroma_active_raw_marbling,OAV ≥ 1 in A1 and A5 raw-beef groups.,39.34,µg/kg,OAV,1.57,,SRC-BEEF-RAW-MARBLING-001,https://www.frontiersin.org/journals/veterinary-science/articles/10.3389/fvets.2025.1501177/full,no,eligible_raw_marbling_v12,"Use for abundance/OAV weighting, not as a separate breed profile.",beef:muscle,Longissimus dorsi; marbling A1,active_beef_muscle
BP-020,beef,family:beef,raw,Longissimus dorsi; marbling A5,1-octen-3-ol,3391-86-4,Alcohols,measured,OAV_gt_1,raw,aroma_active_raw_marbling,OAV ≥ 1 in A1 and A5 raw-beef groups.,139.45,µg/kg,OAV,5.58,,SRC-BEEF-RAW-MARBLING-001,https://www.frontiersin.org/journals/veterinary-science/articles/10.3389/fvets.2025.1501177/full,no,eligible_raw_marbling_v12,"Use for abundance/OAV weighting, not as a separate breed profile.",beef:muscle,Longissimus dorsi; marbling A5,active_beef_muscle
