record_id,product_id,family_id,material_role,preparation_state,source_id,source_group,normalized_group,compound_name_source,specific_ion_mz,lri,commercial_egg_CE,blue_shell_BSE,woorimatdag1,woorimatdag2,sem,metric,identification_method,numeric_match_factor,mr09_status,commercial_egg_detected,culinary_relevance_route,notes
DEY-BOIL-001,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Acid,Esters,"1-Butanol, 2-methyl-, propanoate",57.1,960,0.008,0.011,0.011,0.0,0.0035,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,Source places this propanoate ester under Acid; source group preserved.
DEY-BOIL-002,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Acid,Acid,n-Hexadecanoic acid,73.0,1961,0.096,0.028,0.029,0.194,0.0569,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-003,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Acid,Acid,Octadecanoic acid,73.0,2161,0.021,0.0,0.004,0.054,0.0141,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-004,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Acid,Acid,Tetradecanoic acid,57.1,1759,0.019,0.0,0.0,0.0,0.0068,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-005,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Acid,Acid,trans-13-Octadecenoic acid,55.1,2138,0.0,0.0,0.0,0.043,0.0117,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,no,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-006,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Alcohol,Alcohol,(S)-(+)-3-Methyl-1-pentanol,56.1,789,0.022,0.009,0.016,0.027,0.0046,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-007,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Alcohol,Alcohol,1-Dodecanol,57.0,1490,0.0,0.0,0.004,0.006,0.0019,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,no,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-008,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Alcohol,Alcohol,1-Heptanol,70.1,960,0.0,0.0,0.0,0.005,0.0012,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,no,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-009,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Alcohol,Alcohol,"1-Hexanol, 2-ethyl-",57.1,1031,0.067,0.029,0.03,0.086,0.0145,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-010,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Alcohol,Alcohol,"1-Hexanol, 4-methyl-",70.1,960,0.0,0.0,0.005,0.0,0.0011,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,no,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-011,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Alcohol,Nitrogen compounds,1H-Tetrazol-5-amine,43.1,571,0.11,0.278,0.206,0.019,0.0358,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,Source classifies this tetrazole amine under Alcohol; source group preserved.
DEY-BOIL-012,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Alcohol,Alcohol,1-Nonen-4-ol,43.0,1102,0.0,0.0,0.002,0.0,0.0004,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,no,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-013,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Alcohol,Alcohol,1-Octanol,56.0,1078,0.006,0.003,0.002,0.008,0.0012,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
