record_id,product_id,family_id,material_role,state_scope,source_id,compound_group,compound_name,cas,ri_db_wax,ri_hp5,salted_yolk_detected,roasted_salted_yolk_detected,identification_method,authentic_standard_confirmed,numeric_match_factor,mr09_status,evidence_mode,notes
DEY-SALT-001,egg:yolk_duck_salted,family:egg,yolk_carrier,salted / roasted-salted,SRC-EGG-SALTED-YOLK-001,Pyrazines,Pyrazine,290-37-9,1199.0,723.0,no,yes,"MS, RI, S, O",yes,,partial_no_numeric_match_factor,measured,Roasting of an already salted yolk is a preserved-product thermal transformation; do not inherit its pyrazine/thiophene profile into ordinary fried chicken yolk.
DEY-SALT-002,egg:yolk_duck_salted,family:egg,yolk_carrier,salted / roasted-salted,SRC-EGG-SALTED-YOLK-001,Pyrazines,Methylpyrazine,109-08-0,,816.0,no,yes,"MS, RI, S",yes,,partial_no_numeric_match_factor,measured,Roasting of an already salted yolk is a preserved-product thermal transformation; do not inherit its pyrazine/thiophene profile into ordinary fried chicken yolk.
DEY-SALT-003,egg:yolk_duck_salted,family:egg,yolk_carrier,salted / roasted-salted,SRC-EGG-SALTED-YOLK-001,Pyrazines,"2,5-Dimethylpyrazine",123-32-0,1309.0,905.0,no,yes,"MS, RI, S, O",yes,,partial_no_numeric_match_factor,measured,Roasting of an already salted yolk is a preserved-product thermal transformation; do not inherit its pyrazine/thiophene profile into ordinary fried chicken yolk.
DEY-SALT-004,egg:yolk_duck_salted,family:egg,yolk_carrier,salted / roasted-salted,SRC-EGG-SALTED-YOLK-001,Pyrazines,"2,6-Dimethylpyrazine",108-50-9,1316.0,,no,yes,"MS, RI, S, O",yes,,partial_no_numeric_match_factor,measured,Roasting of an already salted yolk is a preserved-product thermal transformation; do not inherit its pyrazine/thiophene profile into ordinary fried chicken yolk.
DEY-SALT-005,egg:yolk_duck_salted,family:egg,yolk_carrier,salted / roasted-salted,SRC-EGG-SALTED-YOLK-001,Pyrazines,Ethylpyrazine,13925-00-3,1321.0,,no,yes,"MS, RI, S",yes,,partial_no_numeric_match_factor,measured,Roasting of an already salted yolk is a preserved-product thermal transformation; do not inherit its pyrazine/thiophene profile into ordinary fried chicken yolk.
DEY-SALT-006,egg:yolk_duck_salted,family:egg,yolk_carrier,salted / roasted-salted,SRC-EGG-SALTED-YOLK-001,Pyrazines,2-Ethyl-5-methylpyrazine,13360-64-0,1379.0,996.0,no,yes,"MS, RI, S, O",yes,,partial_no_numeric_match_factor,measured,Roasting of an already salted yolk is a preserved-product thermal transformation; do not inherit its pyrazine/thiophene profile into ordinary fried chicken yolk.
DEY-SALT-007,egg:yolk_duck_salted,family:egg,yolk_carrier,salted / roasted-salted,SRC-EGG-SALTED-YOLK-001,Pyrazines,"2-Ethyl-3,6-dimethylpyrazine",13360-65-1,1433.0,1073.0,no,yes,"MS, RI, S, O",yes,,partial_no_numeric_match_factor,measured,Roasting of an already salted yolk is a preserved-product thermal transformation; do not inherit its pyrazine/thiophene profile into ordinary fried chicken yolk.
DEY-SALT-008,egg:yolk_duck_salted,family:egg,yolk_carrier,salted / roasted-salted,SRC-EGG-SALTED-YOLK-001,Thiophene-ring compounds,Thiophene,110-02-1,1014.0,,no,yes,"MS, RI, S",yes,,partial_no_numeric_match_factor,measured,Roasting of an already salted yolk is a preserved-product thermal transformation; do not inherit its pyrazine/thiophene profile into ordinary fried chicken yolk.
DEY-SALT-009,egg:yolk_duck_salted,family:egg,yolk_carrier,salted / roasted-salted,SRC-EGG-SALTED-YOLK-001,Thiophene-ring compounds,2-Methylthiophene,554-14-3,1081.0,762.0,no,yes,"MS, RI, S, O",yes,,partial_no_numeric_match_factor,measured,Roasting of an already salted yolk is a preserved-product thermal transformation; do not inherit its pyrazine/thiophene profile into ordinary fried chicken yolk.
DEY-SALT-010,egg:yolk_duck_salted,family:egg,yolk_carrier,salted / roasted-salted,SRC-EGG-SALTED-YOLK-001,Thiophene-ring compounds,Dihydro-3-(2H)-thiophenone,1003-04-9,,945.0,no,yes,"MS, RI",no,,partial_no_numeric_match_factor,measured,Roasting of an already salted yolk is a preserved-product thermal transformation; do not inherit its pyrazine/thiophene profile into ordinary fried chicken yolk.
