record_id,product_id,family_id,material_role,preparation_state,source_id,compound_group,compound_name,odor_quality,detected_in_scrambled_chicken,concentration_ug_kg,odor_threshold_ug_kg,DoT_factor,ri_db_ffap,ri_db5,AEDA_FD_factor,quantitation_layer,mr10_role,culinary_relevance,notes
DEG-SCR-001,egg:whole_chicken,family:egg,whole egg composite,scrambled,SRC-EGG-SCRAMBLE-SENS-001,Sulfur compounds,Hydrogen sulfide,boiled-egg like,yes,967.0,10.0,97,,,,headspace_semquant,sensory_quantitative_not_MR10_detection_table,positive_culinary_odorant,Hydrogen sulfide and methanethiol are direct cooked-egg culinary measurements; MR-14 does not classify them as spoilage-only compounds.
DEG-SCR-002,egg:whole_chicken,family:egg,whole egg composite,scrambled,SRC-EGG-SCRAMBLE-SENS-001,Ketones,"2,3-Butanedione",butter-like,yes,230.0,1.0,230,944.0,612.0,16.0,SIDA_quantified,sensory_quantitative_not_MR10_detection_table,positive_culinary_odorant,
DEG-SCR-003,egg:whole_chicken,family:egg,whole egg composite,scrambled,SRC-EGG-SCRAMBLE-SENS-001,Aldehydes,3-Methylbutanal,malty,yes,220.0,0.5,439,917.0,710.0,64.0,SIDA_quantified,sensory_quantitative_not_MR10_detection_table,positive_culinary_odorant,
DEG-SCR-004,egg:whole_chicken,family:egg,whole egg composite,scrambled,SRC-EGG-SCRAMBLE-SENS-001,Sulfur compounds,3-(Methylsulfanyl)propanal (methional),cooked potato,yes,180.0,0.43,418,1450.0,899.0,1024.0,SIDA_quantified,sensory_quantitative_not_MR10_detection_table,positive_culinary_odorant,
DEG-SCR-005,egg:whole_chicken,family:egg,whole egg composite,scrambled,SRC-EGG-SCRAMBLE-SENS-001,Aldehydes,2-Methylbutanal,malty,yes,113.0,1.5,75,915.0,712.0,64.0,SIDA_quantified,sensory_quantitative_not_MR10_detection_table,positive_culinary_odorant,
DEG-SCR-006,egg:whole_chicken,family:egg,whole egg composite,scrambled,SRC-EGG-SCRAMBLE-SENS-001,Aldehydes,Hexanal,"green, grassy",yes,112.0,2.4,47,1072.0,792.0,64.0,SIDA_quantified,sensory_quantitative_not_MR10_detection_table,positive_culinary_odorant,
DEG-SCR-007,egg:whole_chicken,family:egg,whole egg composite,scrambled,SRC-EGG-SCRAMBLE-SENS-001,Acids,3-Methylbutanoic acid,"sweaty, cheesy",yes,66.0,490.0,<1,,,,SIDA_quantified,sensory_quantitative_not_MR10_detection_table,positive_culinary_odorant,
DEG-SCR-008,egg:whole_chicken,family:egg,whole egg composite,scrambled,SRC-EGG-SCRAMBLE-SENS-001,Heterocycles,"4-Hydroxy-2,5-dimethyl-3(2H)-furanone",caramel-like,yes,34.0,53.0,<1,,,,SIDA_quantified,sensory_quantitative_not_MR10_detection_table,positive_culinary_odorant,
DEG-SCR-009,egg:whole_chicken,family:egg,whole egg composite,scrambled,SRC-EGG-SCRAMBLE-SENS-001,Acids,2-Methylbutanoic acid,"sweaty, cheesy",yes,24.0,3100.0,<1,,,,SIDA_quantified,sensory_quantitative_not_MR10_detection_table,positive_culinary_odorant,
DEG-SCR-010,egg:whole_chicken,family:egg,whole egg composite,scrambled,SRC-EGG-SCRAMBLE-SENS-001,Phenols,4-Methylphenol (p-cresol),"smoky, horse stable-like",yes,14.0,3.9,3.7,,,,SIDA_quantified,sensory_quantitative_not_MR10_detection_table,positive_culinary_odorant,
DEG-SCR-011,egg:whole_chicken,family:egg,whole egg composite,scrambled,SRC-EGG-SCRAMBLE-SENS-001,Aldehydes,Octanal,green,yes,12.0,3.4,3.5,1278.0,1002.0,32.0,SIDA_quantified,sensory_quantitative_not_MR10_detection_table,positive_culinary_odorant,
DEG-SCR-012,egg:whole_chicken,family:egg,whole egg composite,scrambled,SRC-EGG-SCRAMBLE-SENS-001,Pyrazines,"2-Ethyl-3,5-dimethylpyrazine",earthy,yes,8.3,0.28,30,1440.0,1073.0,8.0,SIDA_quantified,sensory_quantitative_not_MR10_detection_table,positive_culinary_odorant,
