foodatlas_id	source	reference	entity_linking_method	_chemical_name	_flavor_name
mf1	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=2723872'}	id_matching	PUBCHEM_COMPOUND:2723872	sweet
mf2	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=2723872'}	id_matching	PUBCHEM_COMPOUND:2723872	odorless
mf3	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=60960'}	id_matching	PUBCHEM_COMPOUND:60960	odorless
mf4	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=1060'}	id_matching	PUBCHEM_COMPOUND:1060	sour
mf5	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=1060'}	id_matching	PUBCHEM_COMPOUND:1060	sharp
mf6	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=1060'}	id_matching	PUBCHEM_COMPOUND:1060	acetic
mf7	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=1060'}	id_matching	PUBCHEM_COMPOUND:1060	caramellic
mf8	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=439341'}	id_matching	PUBCHEM_COMPOUND:439341	sweet
mf9	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=439341'}	id_matching	PUBCHEM_COMPOUND:439341	odorless
mf10	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=5281377'}	id_matching	PUBCHEM_COMPOUND:5281377	bitter
mf11	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=1130'}	id_matching	PUBCHEM_COMPOUND:1130	bitter
mf12	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=1130'}	id_matching	PUBCHEM_COMPOUND:1130	slight, characteristic
mf13	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=6255'}	id_matching	PUBCHEM_COMPOUND:6255	sweet
mf14	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=6274'}	id_matching	PUBCHEM_COMPOUND:6274	bitter
mf15	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=6274'}	id_matching	PUBCHEM_COMPOUND:6274	sweet
mf16	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=6274'}	id_matching	PUBCHEM_COMPOUND:6274	odorless
mf17	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=6287'}	id_matching	PUBCHEM_COMPOUND:6287	odorless
mf18	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=5793'}	id_matching	PUBCHEM_COMPOUND:5793	sweet
mf19	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=6305'}	id_matching	PUBCHEM_COMPOUND:6305	flat taste
mf20	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=6305'}	id_matching	PUBCHEM_COMPOUND:6305	bitter
mf21	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=6305'}	id_matching	PUBCHEM_COMPOUND:6305	slightly bitter
mf22	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=6305'}	id_matching	PUBCHEM_COMPOUND:6305	odorless
mf23	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=6306'}	id_matching	PUBCHEM_COMPOUND:6306	bitter
mf24	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=6306'}	id_matching	PUBCHEM_COMPOUND:6306	odorless
mf25	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=6322'}	id_matching	PUBCHEM_COMPOUND:6322	faint
mf26	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=5280961'}	id_matching	PUBCHEM_COMPOUND:5280961	bitter
mf27	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=5862'}	id_matching	PUBCHEM_COMPOUND:5862	sulfury
mf28	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=750'}	id_matching	PUBCHEM_COMPOUND:750	sweet
mf29	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=750'}	id_matching	PUBCHEM_COMPOUND:750	waxy
mf30	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=750'}	id_matching	PUBCHEM_COMPOUND:750	fatty
mf31	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=750'}	id_matching	PUBCHEM_COMPOUND:750	oily
mf32	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=750'}	id_matching	PUBCHEM_COMPOUND:750	odorless
mf33	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=54670067'}	id_matching	PUBCHEM_COMPOUND:54670067	pleasant, sharp, acidic taste
mf34	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=54670067'}	id_matching	PUBCHEM_COMPOUND:54670067	odorless
mf35	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=247'}	id_matching	PUBCHEM_COMPOUND:247	bland
mf36	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=247'}	id_matching	PUBCHEM_COMPOUND:247	sweet
mf37	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=33032'}	id_matching	PUBCHEM_COMPOUND:33032	acidic (glutamate-like) taste
mf38	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=33032'}	id_matching	PUBCHEM_COMPOUND:33032	yeast
mf39	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=33032'}	id_matching	PUBCHEM_COMPOUND:33032	bread
mf40	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=33032'}	id_matching	PUBCHEM_COMPOUND:33032	odorless
mf41	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=33032'}	id_matching	PUBCHEM_COMPOUND:33032	umami sour taste
mf42	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=33032'}	id_matching	PUBCHEM_COMPOUND:33032	mild
mf43	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=33032'}	id_matching	PUBCHEM_COMPOUND:33032	baked
mf44	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=311'}	id_matching	PUBCHEM_COMPOUND:311	pleasant, sweet, tart taste
mf45	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=311'}	id_matching	PUBCHEM_COMPOUND:311	odorless
mf46	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=311'}	id_matching	PUBCHEM_COMPOUND:311	strongly acidic taste
mf47	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=5950'}	id_matching	PUBCHEM_COMPOUND:5950	sweet taste
mf48	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=5950'}	id_matching	PUBCHEM_COMPOUND:5950	odorless
mf49	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=5960'}	id_matching	PUBCHEM_COMPOUND:5960	sour
mf50	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=5960'}	id_matching	PUBCHEM_COMPOUND:5960	acidic/neutral
mf51	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=5960'}	id_matching	PUBCHEM_COMPOUND:5960	odorless
