Product,Product Category,Product Group,Compound,Compound Group,Quantity Lower Bound,Quantity Upper Bound
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,β-myrcene (=myrcene),Hydrocarbons,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,α-phellandrene,Hydrocarbons,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,β-phellandrene,Hydrocarbons,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,α-terpinene,Hydrocarbons,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,γ-terpinene,Hydrocarbons,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,terpinolene,Hydrocarbons,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,limonene,Hydrocarbons,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,β-elemene,Hydrocarbons,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,germacrene D,Hydrocarbons,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,α-humulene (=humulene),Hydrocarbons,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,α-pinene,Hydrocarbons,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,β-pinene,Hydrocarbons,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,camphene,Hydrocarbons,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,sabinene (=4(10)-thujene),Hydrocarbons,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,trans-α-bergamotene,Hydrocarbons,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,δ-cadinene,Hydrocarbons,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,α-muurolene,Hydrocarbons,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,γ-muurolene,Hydrocarbons,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,β-guaiene (=guaiene),Hydrocarbons,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,β-caryophyllene,Hydrocarbons,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,α-cubebene,Hydrocarbons,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,α-copaene (=copaene),Hydrocarbons,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,bourbonene (unkn.str.),Hydrocarbons,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,β-spathulene,Hydrocarbons,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,α-gurjunene,Hydrocarbons,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,1-isopropyl-4-methylbenzene (=p-cymene),Hydrocarbons,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,calamenene,Hydrocarbons,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,α-calacorene,Hydrocarbons,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,γ-calacorene,Hydrocarbons,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,α-terpineol,Alcohols,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,elemol,Alcohols,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,α-cadinol,Alcohols,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,δ-cadinol (=torreyol),Alcohols,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,cadinol-T,Alcohols,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,muurolol-T,Alcohols,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,α-eudesmol,Alcohols,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,β-eudesmol,Alcohols,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,γ-eudesmol,Alcohols,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,geranyl butanoate,Esters,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,neryl hexanoate,Esters,,
CALIFORNIA PEPPER (Schinus molle L.),,Fruits,methyl octanoate,Esters,,
CASSAVA (Manihot esculenta Crantz),,Vegetables,ethylbenzene (=α-methyltoluene),Hydrocarbons,,
CASSAVA (Manihot esculenta Crantz),,Vegetables,isopropylbenzene (=cumene),Hydrocarbons,,
CASSAVA (Manihot esculenta Crantz),,Vegetables,trimethylbenzene (unkn.str.),Hydrocarbons,,
CASSAVA (Manihot esculenta Crantz),,Vegetables,tetramethylbenzene (unkn.str.),Hydrocarbons,,
CASSAVA (Manihot esculenta Crantz),,Vegetables,biphenyl,Hydrocarbons,,
CASSAVA (Manihot esculenta Crantz),,Vegetables,naphthalene,Hydrocarbons,,
CASSAVA (Manihot esculenta Crantz),,Vegetables,methylnaphthalene (unkn.str.),Hydrocarbons,,
CASSAVA (Manihot esculenta Crantz),,Vegetables,ethylnaphthalene (unkn.str.),Hydrocarbons,,
CASSAVA (Manihot esculenta Crantz),,Vegetables,dimethylnaphthalene (unkn.str.),Hydrocarbons,,
CASSAVA (Manihot esculenta Crantz),,Vegetables,2-pentanol,Alcohols,,
CASSAVA (Manihot esculenta Crantz),,Vegetables,hexanal (=capronaldehyde),"Carbonyls, aldehydes",,
CASSAVA (Manihot esculenta Crantz),,Vegetables,heptanal,"Carbonyls, aldehydes",,
CASSAVA (Manihot esculenta Crantz),,Vegetables,"2,4-decadienal","Carbonyls, aldehydes",,
CASSAVA (Manihot esculenta Crantz),,Vegetables,benzaldehyde,"Carbonyls, aldehydes",,
CASSAVA (Manihot esculenta Crantz),,Vegetables,phenylacetaldehyde (=benzeneacetaldehyde),"Carbonyls, aldehydes",,
CASSAVA (Manihot esculenta Crantz),,Vegetables,decanone (unkn.str.),"Carbonyls, ketones",,
CASSAVA (Manihot esculenta Crantz),,Vegetables,"di-tert-butyl-1,4-benzoquinone (unkn.str.)","Carbonyls, ketones",,
CASSAVA (Manihot esculenta Crantz),,Vegetables,acetic acid,Acids,,
CASSAVA (Manihot esculenta Crantz),,Vegetables,propanoic acid (=propionic acid),Acids,,
CASSAVA (Manihot esculenta Crantz),,Vegetables,2-hydroxypropanoic acid (=lactic acid),Acids,,
CASSAVA (Manihot esculenta Crantz),,Vegetables,hexadecanoic acid (=palmitic acid),Acids,,
CASSAVA (Manihot esculenta Crantz),,Vegetables,octadecanoic acid (=stearic acid),Acids,,
CASSAVA (Manihot esculenta Crantz),,Vegetables,octadecenoic acid (unkn.str.),Acids,,
CASSAVA (Manihot esculenta Crantz),,Vegetables,octadecadienoic acid (unkn.str.),Acids,,
CASSAVA (Manihot esculenta Crantz),,Vegetables,octadecatrienoic acid (unkn.str.),Acids,,
CASSAVA (Manihot esculenta Crantz),,Vegetables,hydrocyanic acid,Acids,,
CASSAVA (Manihot esculenta Crantz),,Vegetables,methyl hexadecanoate (=methyl palmitate),Esters,,
CASSAVA (Manihot esculenta Crantz),,Vegetables,ethyl hexadecanoate (=ethyl palmitate),Esters,,
CASSAVA (Manihot esculenta Crantz),,Vegetables,methyl octadecanoate (=methyl stearate),Esters,,
CASSAVA (Manihot esculenta Crantz),,Vegetables,methyl octadecadienoate (unkn.str.),Esters,,
CASSAVA (Manihot esculenta Crantz),,Vegetables,diethyl phthalate,Esters,,
CASSAVA (Manihot esculenta Crantz),,Vegetables,"5-hydroxydecanoic acid lactone (=5-decanolide, δ-decalactone)",Lactones,,
CASSAVA (Manihot esculenta Crantz),,Vegetables,methanethiol (=methyl mercaptan),Sulfur compounds,,
CASSAVA (Manihot esculenta Crantz),,Vegetables,benzothiazole,Sulfur compounds,,
CASSAVA (Manihot esculenta Crantz),,Vegetables,dichlorobenzene (unkn.str.),Halogens,,
CASSAVA (Manihot esculenta Crantz),,Vegetables,dibromo-chloromethane,Halogens,,
CASSAVA (Manihot esculenta Crantz),,Vegetables,chlorobenzaldehyde (unkn.str.),Halogens,,
CASSAVA (Manihot esculenta Crantz),,Vegetables,2-pentylfuran,Furans,,
CHERIMOYA (Annona cherimolia Mill.),,Fruits,β-ocimene,Hydrocarbons,,
CHERIMOYA (Annona cherimolia Mill.),,Fruits,(Z)-β-ocimene,Hydrocarbons,,
CHERIMOYA (Annona cherimolia Mill.),,Fruits,(E)-β-ocimene,Hydrocarbons,,
CHERIMOYA (Annona cherimolia Mill.),,Fruits,allo-ocimene,Hydrocarbons,,
CHERIMOYA (Annona cherimolia Mill.),,Fruits,"(4E,6Z)-allo-ocimene (=(E,Z)-alloocimene)",Hydrocarbons,,
CHERIMOYA (Annona cherimolia Mill.),,Fruits,β-myrcene (=myrcene),Hydrocarbons,,
CHERIMOYA (Annona cherimolia Mill.),,Fruits,p-1-menthene,Hydrocarbons,,
CHERIMOYA (Annona cherimolia Mill.),,Fruits,α-terpinene,Hydrocarbons,,
CHERIMOYA (Annona cherimolia Mill.),,Fruits,γ-terpinene,Hydrocarbons,,
CHERIMOYA (Annona cherimolia Mill.),,Fruits,terpinolene,Hydrocarbons,,
CHERIMOYA (Annona cherimolia Mill.),,Fruits,limonene,Hydrocarbons,,
CHERIMOYA (Annona cherimolia Mill.),,Fruits,α-pinene,Hydrocarbons,,
CHERIMOYA (Annona cherimolia Mill.),,Fruits,β-pinene,Hydrocarbons,,
CHERIMOYA (Annona cherimolia Mill.),,Fruits,camphene,Hydrocarbons,,
CHERIMOYA (Annona cherimolia Mill.),,Fruits,α-thujene,Hydrocarbons,,
CHERIMOYA (Annona cherimolia Mill.),,Fruits,methylbenzene (=toluene),Hydrocarbons,,
CHERIMOYA (Annona cherimolia Mill.),,Fruits,ethylbenzene (=α-methyltoluene),Hydrocarbons,,
CHERIMOYA (Annona cherimolia Mill.),,Fruits,vinylbenzene (=styrene),Hydrocarbons,,
CHERIMOYA (Annona cherimolia Mill.),,Fruits,propylbenzene,Hydrocarbons,,
CHERIMOYA (Annona cherimolia Mill.),,Fruits,"1,2-dimethylbenzene (=o-xylene)",Hydrocarbons,,
CHERIMOYA (Annona cherimolia Mill.),,Fruits,"1,3-dimethylbenzene (=m-xylene)",Hydrocarbons,,
