Product,Product Category,Product Group,Concentration_sq_Sum,TPSA_weighted_Sum,InactiveAidCount_weighted_Sum,HydrogenBondDonorCount_weighted_Sum,TautomerCount_weighted_Sum,BondChiralCount_weighted_Sum,ActiveAidCount_weighted_Sum,IsotopeAtomCount_weighted_Sum,HydrogenBondAcceptorCount_weighted_Sum,XLogP_weighted_Sum,BondChiralUndefCount_weighted_Sum,TotalAidCount_weighted_Sum,MolecularWeight_weighted_Sum,BondChiralDefCount_weighted_Sum,TotalFormalCharge_weighted_Sum,Complexity_weighted_Sum,AtomChiralDefCount_weighted_Sum,AtomChiralUndefCount_weighted_Sum,AtomChiralCount_weighted_Sum,RotatableBondCount_weighted_Sum,CovalentUnitCount_weighted_Sum,HeavyAtomCount_weighted_Sum,Final_Count,Initial_Count,Inclusion_Rate
BEER,,Alcoholic Beverages < 20% alc.,3312360.97,170885.272,668395.1185,7266.621419,3625.068875,23.182375,7667.133855,0,8560.322183,-3236.089817,11.664425,755933.9323,293055.0674,11.51795,0,140173.5418,82.295,270.2259005,352.5209005,5813.928397,3012.957974,19566.79864,346,625,0.5536
CIDER (APPLE WINE),,Alcoholic Beverages < 20% alc.,19913947,592244.3366,2796014.855,22074.43,10111.805,0.65,18569.575,0,30716.72,-9019.074495,0,3376595.485,950239.8044,0.65,0,555724.4547,0.8,4361.01,4361.81,16807.69501,10034.755,63273.27002,83,305,0.2721311475
SAKE,,Alcoholic Beverages < 20% alc.,1100674.101,155031.4331,646451.4745,4686.492,3143.5855,0,12477.0105,0,8233.774,-926.1917,0,820307.627,268823.4875,0,0,194206.644,0,923.285,923.285,4493.8035,2722.3005,18238.908,18,113,0.1592920354
SHERRY,,Alcoholic Beverages < 20% alc.,7618221.631,245580.3697,842747.2354,10655.16,5726.844211,0.72,8930.646565,0,12678.89511,-5455.762678,0.24,910655.9288,462437.7127,0.48,0,181524.6759,1190,798.225,1988.225,8613.76091,5016.654206,30878.42356,86,332,0.2590361446
BOTRYTISED WINE,WINE,Alcoholic Beverages < 20% alc.,458638243.4,1547416.492,5348946.457,72972.4,27421.75101,0.05,34009.956,0,77197.68401,-41262.47879,0,6085740.875,2429559.398,0.05,0,778855.2335,0,5530.295003,5530.295003,46938.78201,27100.121,159044.457,35,149,0.2348993289
PORT WINE,WINE,Alcoholic Beverages < 20% alc.,2461283.275,250872.6943,1308657.37,7994.550008,3553.071402,2.200003,2431.051011,0,13488.58182,-2632.494376,0,1453840.153,403917.0945,2.200003,0,325383.9021,3,3280.100009,3283.100009,8263.280628,3505.441388,27134.85991,109,190,0.5736842105
RED WINE,WINE,Alcoholic Beverages < 20% alc.,181648482.1,1559904.502,6299839.569,63618.21231,30090.19653,12.6600015,30412.16181,0,80359.5929,-30359.43813,0.065501,6823739.085,2505956.466,12.5945005,-33,1418231.198,0.2445015,9651.21201,9651.456511,51897.91435,23558.70622,166612.4578,202,387,0.5219638243
ROSE WINE,WINE,Alcoholic Beverages < 20% alc.,170254.2367,25110.61077,42939.57925,1012.620001,687.356054,0.08,373.1625075,0,1352.909606,-301.1865418,0,47044.04244,59251.18883,0.08,0,26773.33437,0,914.2,914.2,965.2775045,643.8760525,3974.740667,34,114,0.298245614
SPARKLING WINE,WINE,Alcoholic Beverages < 20% alc.,84515068.78,956960.3115,4137934.597,39114.543,16554.4675,120.28,16749.4755,0,49476.987,-15376.9506,120,4719261.278,1667980.68,0.28,0,898395.7283,61.5,5739.885501,5801.385501,38066.7655,15941.5375,111148.1055,94,146,0.6438356164
WHITE WINE,WINE,Alcoholic Beverages < 20% alc.,84371296.92,1332539.662,5470346.778,52528.08662,20231.38749,28.283753,20181.2994,0,68585.06273,-24827.77166,7.0087515,5898068.755,2061940.249,21.2750015,0,1275031.833,1031.8254,11895.91196,12927.73736,41441.08031,19013.4127,137090.348,236,688,0.3430232558
